size;malloc;calloc;realloc
46000001;4;3;13830
46100001;10;6;14056
46200001;4;3;16394
46300001;7;5;19687
46400001;5;3;12680
46500001;4;3;12343
46600001;5;3;12231
46700001;5;3;15440
46800001;4;4;14580
46900001;7;5;15317
47000001;7;5;14159
47100001;12;5;14998
47200001;4;3;13381
47300001;4;3;14456
47400001;6;3;14537
47500001;6;3;14274
47600001;4;3;13984
47700001;5;3;14581
47800001;5;3;13505
47900001;4;3;13790
48000001;7;3;13147
48100001;13;11;15790
48200001;7;6;13547
48300001;7;5;14073
48400001;5;3;12540
48500001;4;3;14687
48600001;5;3;15099
48700001;4;3;13392
48800001;4;3;13469
48900001;4;3;15075
49000001;5;25;14399
49100001;5;3;13520
49200001;4;3;13340
49300001;4;3;14098
49400001;26;3;13450
49500001;9;3;16036
49600001;4;3;14684
49700001;6;4;15417
49800001;4;3;14166
49900001;5;3;15237
50000001;5;4;15618
50100001;5;3;15578
50200001;14;9;13619
50300001;7;6;21920
50400001;4;3;13511
50500001;5;3;14095
50600001;4;3;13782
50700001;5;3;15356
50800001;6;5;14264
50900001;4;3;14513
51000001;5;3;14578
51100001;4;3;15636
51200001;6;3;17212
51300001;5;7;18800
51400001;5;3;14023
51500001;5;3;15386
51600001;8;3;16277
51700001;4;3;14783
51800001;6;3;13530
51900001;6;3;14323
52000001;5;3;15605
52100001;5;3;14806
52200001;5;6;14658
52300001;12;10;14250
52400001;7;5;13888
52500001;4;3;13585
52600001;4;3;15068
52700001;4;3;14397
52800001;4;3;16616
52900001;5;4;14126
53000001;5;3;14704
53100001;4;3;13850
53200001;4;3;14532
53300001;4;3;13818
53400001;5;3;15205
53500001;4;3;14401
53600001;4;3;15971
53700001;5;4;15550
53800001;5;3;16071
53900001;5;3;14401
54000001;5;3;14681
54100001;4;3;14452
54200001;4;3;15333
54300001;7;3;15194
54400001;13;10;16585
54500001;10;8;14475
54600001;5;3;16187
54700001;7;5;16495
54800001;4;3;16357
54900001;7;5;14743
55000001;4;3;16263
55100001;6;4;16163
55200001;5;3;14152
55300001;5;4;15048
55400001;6;4;17092
55500001;6;5;15750
55600001;4;3;15154
55700001;5;3;14825
55800001;4;3;15589
55900001;4;3;17205
56000001;5;3;15255
56100001;24;3;14829
56200001;4;3;15373
56300001;9;3;15429
56400001;4;3;15684
56500001;10;10;17139
56600001;7;5;15918
56700001;4;3;15628
56800001;8;5;15273
56900001;5;3;15485
57000001;6;4;15845
57100001;5;3;17492
57200001;6;3;17118
57300001;4;25;15087
57400001;4;3;16480
57500001;4;3;15704
57600001;4;3;15967
57700001;4;3;15374
57800001;7;4;16568
57900001;6;3;18639
58000001;29;3;15652
58100001;5;3;15975
58200001;5;3;16526
58300001;4;3;15811
58400001;5;3;15984
58500001;5;3;16769
58600001;13;10;17581
58700001;6;5;16025
58800001;4;3;20062
58900001;6;5;17333
59000001;5;3;15725
59100001;4;3;17850
59200001;5;3;16490
59300001;5;3;15831
59400001;7;5;16314
59500001;4;3;16880
59600001;24;3;18018
59700001;5;3;17938
59800001;5;3;16535
59900001;4;3;18792
60000001;6;3;16421
60100001;5;3;15565
60200001;4;3;16763
60300001;5;4;18056
60400001;5;3;17343
60500001;5;3;17517
60600001;7;5;15938
60700001;10;8;17599
60800001;9;7;17678
60900001;4;3;15946
61000001;4;3;16428
61100001;19;3;19247
61200001;8;5;17524
61300001;5;3;17174
61400001;7;5;18180
61500001;4;3;16869
61600001;5;3;16684
61700001;7;10;19355
61800001;6;3;16825
61900001;6;32;18652
62000001;5;3;16871
62100001;4;3;17839
62200001;5;3;18120
62300001;7;5;18563
62400001;6;3;17949
62500001;8;5;16620
62600001;5;3;17410
62700001;6;4;17518
62800001;9;8;18119
62900001;7;5;16814
63000001;4;3;17187
63100001;8;4;19101
63200001;7;5;18881
63300001;5;3;16517
63400001;4;3;17285
63500001;4;3;18408
63600001;7;5;17090
63700001;4;3;17813
63800001;7;4;19217
63900001;5;3;17255
64000001;4;3;17056
64100001;4;3;16954
64200001;5;3;18234
64300001;5;4;17445
64400001;5;3;19667
64500001;6;4;18649
64600001;5;3;17370
64700001;5;4;17174
64800001;5;3;17399
64900001;9;8;18228
65000001;7;5;18332
65100001;6;4;19178
65200001;4;3;18348
65300001;5;3;17988
65400001;5;3;17788
65500001;4;3;17443
65600001;5;3;20123
65700001;6;3;22374
65800001;5;3;20216
65900001;4;3;19112
66000001;5;3;22902
66100001;5;3;19020
66200001;8;5;18918
66300001;5;4;20215
66400001;5;3;20109
66500001;7;5;25039
66600001;8;5;20239
66700001;6;4;19703
66800001;5;3;19008
66900001;7;4;20670
67000001;12;11;18284
67100001;7;5;6
67200001;3;3;9
67300001;3;3;8
67400001;3;3;4
67500001;3;3;4
